ConfigRuleName,ConfigRuleDescription,ConfigRuleParentname,ConfigRuleChildrenNeeded,ConfigRuleQuestion,ConfigRuleOptional,ConfigRuleSelected,ConfigRuleParseOrder,ConfigRuleVersion,ConfigRuleContext,ConfigRuleInstance,ConfigRuleType,ConfigRuleMatch,ConfigRuleImportance,ConfigRuleReason,ConfigRuleDiscussion,ConfigRuleCallout,ConfigRuleFix
1.1.5.5 - Require Group for SNMPv3 Access,Do not allow plaintext SNMPv3 access.,1.1.5 - SNMP Rules,,For each SNMPv3 group created on your router add privacy options by issuing the following command.,yes,no,74,(((ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,snmp-server group \S+ v3 priv,10,"SNMPv3 provides improved security over previous versions by offering options for Authentication and Encryption of messages.When configuring a user for SNMPv3 you have the option of using a range of encryption schemes, or no encryption at all, to protect messages in transit. AES 128 is the minimum strength encryption method that should be deployed.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>snmp-server group <group_name> v3 priv</cmd></code>
1.1.5.6 - Require AES128 or better encryption for SNMPv3 Access,Do not allow plaintext SNMPv3 access.,1.1.5 - SNMP Rules,,For each SNMPv3 group created on your router add privacy options by issuing the following command.,yes,no,75,(((ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,snmp-server user \S+ v3 encrypted \S+,10,"SNMPv3 provides improved security over previous versions by offering options for Authentication and Encryption of messages.When configuring a user for SNMPv3 you have the option of using a range of encryption schemes, or no encryption at all, to protect messages in transit. AES 128 is the minimum strength encryption method that should be deployed.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>snmp-server user username group-name {v3[encrypted]] [auth {md5 | sha]} auth-password [priv[des | 3des | aes] [128 | 192 | 256] priv-password</cmd></code>
1.2.1.1 - Require Clock Time Zone - UTC,Verify the time zone for the device clock is configured to coordinated universal time (UTC) explicitly.,1.2.1 - Clock Rules,,Configure the device's clock time zone to coordinated universal time (UTC) explicitly,yes,no,76,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<context>),ASAGlobal,,Required,clock timezone UTC 0,3,Configuring devices with a universal time zone eliminates difficulty troubleshooting issues across different time zones and correlating time stamps for disparate log files across multiple devices. Set the clock to UTC 0 (no offset) to aid in root cause analysis of attacks and network issues.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>clock timezone { UTC 0 }</cmd></code>
1.2.1.2 - Forbid Daylight Savings Time Clock Adjustments,Verify clock summer-time is not configured to adjust the device clock for daylight saving time.,1.2.1 - Clock Rules,,Disable clock summer-time adjustments,yes,yes,77,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<context>),ASAGlobal,,Forbidden,^clock summer-time,3,"The difficulty of troubleshooting and correlating issues across different time zones increases if the time stamps of individual logs need to be adjusted for summer time clock settings. Timestamp adjustments can lead to errors when correlating logs across multiple devices. Employ coordinated universal time (UTC) instead of local time zones and do not use summer-time, daylight saving, clock adjustments","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>no clock summer-time</cmd></code>
1.2.1.3.1 - Set Local Time Zone,Verify the clock is configured for the local time zone.,1.2.1 - Clock Rules,,Configure the local time zone.,no,yes,78,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<context>),ASAGlobal,,Required,clock timezone \w{3} \S+,3,Verify the clock is configured for the local time zone.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa# <cmd>clock timezone zone [-]hours [minutes]</cmd></code>
1.2.1.3.2 - Set Daylight Savings Dates,Verify the clock is configured for the appropriate daylight savings dates for the local time zone.,1.2.1 - Clock Rules,,Configure the appropriate daylight savings dates for the local time zone.,no,no,79,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<context>),ASAGlobal,,Required,clock summer-time \S+ date \S+,3,Verify the clock is configured for the appropriate daylight savings dates for the local time zone.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# clock summer-time zone date {day month |month day} year hh:mm {day month | month day} yy:mm[offset]</cmd></code>
1.2.1.3.3 - Setup Daylight Savings Recurrence,Verify the clock is configured for the appropriate daylight savings recurrence for the local time zone.,1.2.1 - Clock Rules,,Configure the appropriate daylight savings recurrence for the local time zone.,no,no,80,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<context>),ASAGlobal,,Required,clock summer-time \S+ recurring \S+,3,Verify the clock is configured for the appropriate daylight savings recurrence for the local time zone.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)#clock summer-time zone recurring {week weekday month hh:mm week weekday month hh:mm [offset]</cmd></code>
1.2.2.1.2 - Configure AAA authentication local,Configure AAA authentication to enable user authentication for SSH.,1.2.2 - Global Service Rules,,Configure a local AAA authentication.,yes,yes,81,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,aaa authentication ssh console \S+ LOCAL,10,At least one user must be configured to enable SSH logins. Any localy configured accounts should be used for fallback access to the FW with normal user access authenticated against a AAA server.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa authentication ssh console LOCAL</cmd></code>
1.2.2.1.3 - Configure a local user account,Configure a local user account for SSH access.,1.2.2 - Global Service Rules,,Configure a local user account.,yes,yes,82,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,username \S+ password \S+ encrypted privilege \d+,10,Configure a local user account for SSH access.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>username username password password</cmd></code>
1.2.2.1.4 - Configure the SSH Timeout,Verify that an idle timeout has been configured for SSH sessions.,1.2.2 - Global Service Rules,,Configure the SSH timeout.,yes,yes,83,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,ssh timeout \S+,10,This reduces the risk of an administrator leaving an authenticated session logged in for an extended period of time.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>ssh timeout [5]</cmd></code>
1.2.2.1.5 - Limit the number of SSH Authentication Tries,Verify the device is configured to limit the number of SSH authentication attempts .,1.2.2 - Global Service Rules,,Configure the SSH retry limit.,yes,yes,84,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,aaa local authentication attempts max-fail 5,10,This limits the number of times an unauthorized user can attempt a password without having to establish a new SSH login attempt.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>aaa local authentication attempts max-fail 5</cmd></code>
1.2.2.1.6 - Require SSH version 2,Remote console connections should only use SSH Version 2.,1.2.2 - Global Service Rules,,Configure SSH version 2.,yes,yes,85,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,ssh version 2,10,"SSH Version 1 has been subject to a number of serious vulnerabilities and is no longer considered to be a secure protocol, resulting in the adoption of SSH Version 2 as an Internet Standard in 2006.Cisco routers support both versions, but due to the weakness of SSH Version 1 only the later standard should be used.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>ssh version 2</cmd></code>
1.2.2.2 - Forbid DHCP Server Service,Verify the device is not configured as a Dynamic Host Configuration Protocol (DHCP) server.,1.2.2 - Global Service Rules,,Disable DHCPD server service,yes,yes,86,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Forbidden,^dhcpd enable,10,"The Dynamic Host Configuration Protocol (DHCP) server supplies automatic configuration parameters, such as dynamic IP address, to requesting systems. A dedicated server located in a secured management zone should be used to provide DHCP services instead. Attackers can potentially be used for denial-of-service (DoS) attacks.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>clear configure dhcpd</cmd></code><code>asa(config)# <cmd>no dhcpd enable { interface } (PIX 6.x)</cmd></code>
1.2.2.3 - Forbid ASDM Service If Not Used,Verify the ASDM service on the device is disabled.,1.2.2 - Global Service Rules,,Disable the ASDM server service,yes,no,87,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Forbidden,^http server enable,10,"Web-based, remote administration should be disabled if not required to minimize the attack surface of the device. At a minimum, ASDM access should be restricted to authorized management systems.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>no http server enable [ port ]</cmd></code>
1.2.3.1 - Forbid Console Logging,Verify console logging is disabled.,1.2.3 - Logging Rules,,Disable logging to the console,yes,no,88,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Forbidden,^logging console,3,Console logging is not persistent. If excessive log messages are generated to the console it could potentially render the device unmanageable. Console logging should be disabled unless required for immediate troubleshooting. If enabled then care should be taken to select a severity level that will not adversely affect system resources.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>no logging console</cmd></code>
1.2.3.2 - Require Console Logging Severity Level If Required by Policy,If console logging is required by security policy it should be limited to a rational severity level to avoid affecting system performance and management.,1.2.3 - Logging Rules,,Configure console logging level (critical),yes,yes,89,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,logging console (2|critical),7,"This configuration determines the severity of messages that will generate console messages. Logging to console should be limited only to those messages required for immediate troubleshooting while logged into the device. This form of logging is not persistent; the device does not store messages printed to the console. Console logging is helpful for operators when using the console, but is otherwise of little value unless since they are not persistent.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>logging console critical</cmd></code>
1.2.3.3 - Require Logging Facility,Verify the required syslog facility is configured and submitted when sending logging messages to a remote syslog server.,1.2.3 - Logging Rules,LOGGING_FACILITY,Configure logging facility,yes,yes,90,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,logging facility 22,3,Syslog servers file messages based on the facility number in the message. Logs should be directed to a consistent and expected logging facility to ensure proper processing and storage by the remote system.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>logging facility { <param>$(LOGGING_FACILITY)</param> }</cmd></code>
1.2.3.4 - Require Logging History Level,Ensure that syslog messages sent to the history table and to an SNMP network management station are limited based on severity.,1.2.3 - Logging Rules,,Configure logging history level.,yes,yes,91,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,logging history (6|informational),3,"This determines the severity of messages that will generate simple network management protocol (SNMP) trap and or syslog messages. This setting should be set to either ""debugging"" (7) or ""informational"" (6), but no lower to ensure receipt of sufficient information concerning the devices operational status. You can view the history table using the show logging history command.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>logging history { 6 | informational }</cmd></code>
1.2.3.5 - Require Logging to Syslog Server,Verify the device is configured to submit system logs to one or more syslog servers to centrally record system events.,1.2.3 - Logging Rules,SYSLOG_SERVER,Configure one or more internal and protected syslog servers by IP address.,yes,yes,92,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,logging host \S+ \d+\.\d+\.\d+\.\d+,5,"Cisco devices can send their log messages to a Unix-style syslog service. A syslog service simply accepts messages, and stores them in files or prints them according to a simple configuration file. This form of logging is best because it can provide protected long-term storage for logs (the devices internal logging buffer has limited capacity to store events.) Additionally, most security regulations require or highly recommend device logging to an external system.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>logging host { interface_name syslog_server_ip }</cmd></code>
1.2.3.6 - Require Logging Trap Severity Level,Verify simple network management protocol (SNMP) trap and syslog are set to required severity level.,1.2.3 - Logging Rules,,Configure logging trap level (informational),yes,yes,93,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,logging trap (7|debugging),3,"This determines the severity of messages that will generate simple network management protocol (SNMP) trap and or syslog messages. This setting should be set to either ""debugging"" (7) or ""informational"" (6), but no lower to ensure receipt of sufficient information concerning the devices operational status.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>logging trap { 7 | debugging }</cmd></code>
1.2.3.7 - Require System Logging,Verify logging is enabled to allow monitoring of both operational and security related events.,1.2.3 - Logging Rules,,Enable System Logging,yes,yes,94,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,logging (enable|on),5,"Logging should be enabled to allow monitoring of both operational and security related events. Logs are critical for responding to general as well as security incidents. Additionally, most security regulations require or highly recommend device logging.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>logging enable (PIX/ASA 7+)</cmd></code><code>asa(config)# <cmd>logging on (PIX 6.x)</cmd></code>
1.2.3.8 - Require Timestamps in Log Messages,Verify timestamps are included in log messages.,1.2.3 - Logging Rules,,Enable inclusion of timestamps in system logs,yes,yes,95,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,logging timestamp,5,"Including timestamps in log messages reduces the complexity of correlating events and tracing network attacks across multiple devices. Enabling timestamps, to mark the generation time of log messages, simplifies obtaining a holistic view of events enabling faster troubleshooting of issues or attacks.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>logging timestamp</cmd></code>
1.2.3.9 - Require NetFlow Secure Event Logging,"Support was added in ASA 8.1 and up for Netflow event logging, which provides greater visibility intotraffic flow passing through the firewall that can enable the identification of unusual network communication, which may be indicativeof a previously unknown attack vector. NSEL is not like typical NetFlow in that it does not provide real-time statistics on trafficflow, and is more concerned with delivering specific traffic events that were traditionally only available through syslog. ASA 8.2 supports NetFlow v9and will report on flows created, denied by ACL, and flow teardown. Configuration is preformed thorough the modular policy framework and can be configuredto report on all traffic or specific networks/interfaces.",1.2.3 - Logging Rules,,Enable NSEL logging.,yes,no,96,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,flow-export destination,5,,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>flow-export destination {interface-name} {ipv4-address|hostname} {udp-port}</cmd></code><code>asa(config)# <cmd>flow-export template time-rate {minutes}</cmd></code><code>asa(config)# <cmd>flow-export delay flow-create {seconds}</cmd></code><code>asa(config)# <cmd>access-list {flow_export_acl} permit ip source destination</cmd></code><code>asa(config)# <cmd>class-map {flow_export_class}</cmd></code><code>asa(config-cmap)# <cmd>match access-list {flow_export_acl}</cmd></code><code>asa(config)# <cmd>policy-map {flow_export_policy}</cmd></code><code>asa(config-pmap)# <cmd>class flow_export_class</cmd></code><code>asa(config-pmap-c)# <cmd>flow-export event-type {event-type} destination</cmd></code><code>asa(config)# <cmd>service-policy {flow_export_policy} global</cmd></code>
1.2.4.1 - Require External NTP Time Sources,"Verify configuration of a primary, trusted network protocol (NTP) timeserver used to synchronize the device clock.",1.2.4 - NTP Rules,"PRIMARY_NTP_SERVER,NTP_KEY_ID","Designate a primary, trusted NTP timeserver",yes,yes,97,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<context>),ASAGlobal,,Required,ntp server \d+\.\d+\.\d+\.\d+ key \d+ source \S+ prefer,5,"Network time protocol (NTP) enables devices to maintain accurate time when synchronized to a trusted and reliable timeserver. Synchronizing system time to a centralized and trusted time source enables reliable correlation of events based on the actual sequence they occurred. The ability to accurately, determine the time and sequence events occur in increases confidence in event data. Accurate system time and events facilitate efficient troubleshooting and incident response. Additional time sources increase the accuracy and dependability of system time.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>ntp server { ntp-server_ip_address } { key ntp_key_id } [ source interface_name ] [prefer]</cmd></code>
1.2.4.2.1 - Enable NTP Authentication,Verify the device is configured to use authenticated NTP messages with peers.,1.2.4 - NTP Rules,"PRIMARY_NTP_SERVER,NTP_KEY_ID","Enable authentication with an NTP server, set an encrypted authentication key",yes,yes,98,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<context>),ASAGlobal,,Required,ntp authenticate,3,"Accurate timestamps are critical for troubleshooting issues and forensic analysis. NTP authentication, using md5 encryption, reduces the chance that an attacker can spoof the devices trusted timeserver and alter its system clock. Network time protocol (NTP) enables devices to maintain accurate time when synchronized to a trusted and reliable timeserver. Synchronizing system time to a centralized and trusted time source enables reliable correlation of events based on the actual sequence they occurred. The ability to accurately, determine the time and sequence events occur in increases confidence in event data. Accurate system time and events facilitate efficient troubleshooting and incident response. Additional time sources increase the accuracy and dependability of system time.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>ntp authenticate</cmd></code>
1.2.4.2.2 - Define NTP Key Ring and Encryption Key,Keys are configured on a key ring and identified by an ID number. To add a key enter the following command.,1.2.4 - NTP Rules,"PRIMARY_NTP_SERVER,NTP_KEY_ID",Keys are configured on a key ring and identified by an ID number. To add a key enter the following command.,yes,yes,99,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<context>),ASAGlobal,,Required,ntp trusted-key \d+,3,Keys are configured on a key ring and identified by an ID number. To add a key enter the following command.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>ntp trusted-key { ntp_key_id }</cmd></code>
1.2.4.2.3 - Define the NTP Trusted Key,Configure the key as trusted so that the router will accept NTP traffic encrypted using it. This mechanism provides an easy method to retire keys in the event of compromise.,1.2.4 - NTP Rules,"PRIMARY_NTP_SERVER,NTP_KEY_ID",Configure the key as trusted so that the router will accept NTP traffic encrypted using it. This mechanism provides an easy method to retire keys in the event of compromise.,yes,yes,100,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<context>),ASAGlobal,,Required,ntp authentication-key \d+ md5 \S+,3,Configure the key as trusted so that the router will accept NTP traffic encrypted using it. This mechanism provides an easy method to retire keys in the event of compromise.,"See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>ntp authentication-key { ntp_key_id } md5 { ntp_key }</cmd></code>
1.2.4.2.4 - Bind the NTP Key Ring to each NTP server,"Set the keys for all configured NTP servers using the following commands under the [edit system] hierarchy, this sets the key that the router will use to encrypt and decrypt traffic for this server.",1.2.4 - NTP Rules,"PRIMARY_NTP_SERVER,NTP_KEY_ID","Set the keys for all configured NTP servers using the following commands under the [edit system] hierarchy, this sets the key that the router will use to encrypt and decrypt traffic for this server.",yes,yes,101,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<context>),ASAGlobal,,Required,ntp server \S+ key \S+,3,"Set the keys for all configured NTP servers using the following commands under the [edit system] hierarchy, this sets the key that the router will use to encrypt and decrypt traffic for this server.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>ntp server {ntp-server_ip_address}{key ntp_key_id} [source interface_name] [prefer]</cmd></code>
1.3.1.1 - Require OS Version - ASA,Verify the device is running an authorized OS version.,1.3.1 - Attack Guards,ASA_OS_VERSION,Require ASA OS Version,yes,yes,103,ASA Version,ASAGlobal,,Required,ASA Version 8.2,10,"Devices should be configured with a standard OS image and version to enable consistent and effective management as well as improve security. Example, if security guidance or advisories are released affecting the device then it would be easier to address or mitigate if all devices are running the same OS.","See: Cisco Security Advisories and PSIRT NoticesASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>Upgrade the system software.</code>
1.3.1.1 - Require OS Version - FWSM,Verify the device is running an authorized OS version.,1.3.1 - Attack Guards,FWSM_OS_VERSION,Require FWSM OS Version,yes,no,104,FWSM Version,ASAGlobal,,Required,FWSM Version 4.0.8,10,"Devices should be configured with a standard OS image and version to enable consistent and effective management as well as improve security. Example, if security guidance or advisories are released affecting the device then it would be easier to address or mitigate if all devices are running the same OS.","See: Cisco Security Advisories and PSIRT NoticesASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>Upgrade the system software.</code>
1.3.1.2 - Require Connection Timeout,"Verify timers are set so that the device closes connections after they become idle, to minimize impact to memory and resources available for new connections.",1.3.1 - Attack Guards,CONN_TIMEOUT,Configure the connection timeout,no,yes,105,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,timeout conn \d+:\d+:\d+,7,"The timeout command sets the idle time for connection slots. If the slot has not been used for the idle time specified, the resource is returned to the free pool. This reduces the risk of someone from accessing an already established but idle connection.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>timeout conn <param>$(CONN_TIMEOUT)</param></cmd></code>
1.3.1.3 - Require Translation Slot Timeout,"Verify timers are set so that the device closes connections after they become idle, to minimize impact to memory and resources available for new connections.",1.3.1 - Attack Guards,XLATE_TIMEOUT,Configure the translation timeout,no,yes,106,(((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)|FWSM Version [1234][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,timeout xlate \d+:\d+:\d+,5,"The xlate time is the duration the device will hold an idle translation connection open before closing it down. Short values are more secure, but may be more disruptive to users. The xlate timeout must be no longer than the translation timeout.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>timeout xlate <param>$(XLATE_TIMEOUT)</param></cmd></code>
1.3.1.4 - Require Intrusion Detection Actions,Verify required intrusion detection system (IDS) audit policies are configured.,1.3.1 - Attack Guards,OUTSIDE_INTERFACE,Configure Intrusion Detection Actions (ip audit),yes,yes,107,((PIX|ASA) Version [678][.][0-9][(]*[0-9]*[)]*[0-9]*\s)(?!\<system>),ASAGlobal,,Required,ip audit attack action alarm drop,5,"When intrusion detection is enabled, the device can detect unusual activity using informational and attack signatures. Informational signatures identify activity that can be useful for forensics but are not necessarily malicious. Attack signatures identify activity that is or leads to exploitation. Once a signature is triggered, the device can perform a specified action based on rules. When packets match a signature, the device can take the following actions; alarm generating a system message, drop the packet(s), or reset which drops the packet(s) and closes the connection.","See: ASA 5500 Series Configuration Guide using the CLI 8.2, and CIS Cisco ASA, FWSM, and PIX Benchmark v.2.0.0.",,<code>asa(config)# <cmd>ip audit name { info_audit_rule_name } info { action { alarm } }</cmd></code><code>asa(config)# <cmd>ip audit name { attack_audit_rule_name } attack { action { alarm } }</cmd></code><code>asa(config)# <cmd>ip audit interface { interface_name } { info_audit_rule_name }</cmd></code><code>asa(config)# <cmd>ip audit interface { interface_name } { attack_audit_rule_name }</cmd></code>
