ConfigRuleName,ConfigRuleDescription,ConfigRuleParentname,ConfigRuleChildrenNeeded,ConfigRuleQuestion,ConfigRuleOptional,ConfigRuleSelected,ConfigRuleParseOrder,ConfigRuleVersion,ConfigRuleContext,ConfigRuleInstance,ConfigRuleType,ConfigRuleMatch,ConfigRuleImportance,Severity,ConfigRuleReason,ConfigRuleDiscussion,ConfigRuleCallout,ConfigRuleFix
1.2.3.6 - Require Service Timestamps for Debug Messages,Configure debug message to include timestamps.,1.2.3 - Logging Rules,,Configure debug message to include timestamps,no,yes,96,version 1[125]\.*,IOSGlobal,,Required,service timestamps debug datetime( msec)?( localtime)? show-timezone( year)?,5,Medium,Including timestamps in log messages allows correlating events and tracing network attacks across multiple devices. Enabling service timestamp to mark the time log messages were generated simplifies obtaining a holistic view of events enabling faster troubleshooting of issues or attacks.,"NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, and Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#service timestamps debug datetime { msec } { show-timezone }</cmd></code>
1.2.3.7 - Require Service Timestamps in Log Messages,Configure logging to include message timestamps.,1.2.3 - Logging Rules,,Configure logging to include message timestamps,no,yes,97,version 1[125]\.*,IOSGlobal,,Required,service timestamps log datetime( msec)?( localtime)? show-timezone( year)?,5,Medium,Including timestamps in log messages allows correlating events and tracing network attacks across multiple devices. Enabling service timestamp to mark the time log messages were generated simplifies obtaining a holistic view of events enabling faster troubleshooting of issues or attacks.,"NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, and Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#service timestamps log datetime { msec } { show-timezone }</cmd></code>
1.2.3.8 - Require Binding Logging Service to Interface,Verify logging messages are bound to interface.,1.2.3 - Logging Rules,,Bind logging to interface.,no,yes,98,version 1[125]\.*,IOSGlobal,,Required,logging source-interface \S+,5,Medium,This is required so that the router sends log messages to the logging server from a consistent IP address.,"NSA Router Security Configuration Guide and Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#logging source-interface <interface></cmd></code>
1.2.4.1 - Require External Time Source,Verify configuration of at least two external (NTP) timeservers used to synchronize the device clock.,1.2.4 - NTP Rules,NTP_HOST_2,Configure at least one or more external NTP Server using the following commands,no,yes,99,version 1[125]\.*,IOSGlobal,,Required,ntp (server|peer) \d+\.\d+\.\d+\.\d+( key \d+)?( prefer)?,5,Medium,"To ensure that the time on your Cisco router is consistent with other devices in your network, at least two (and preferably at least three) NTP Server/s external to the router should be configured.","NSA Router Security Configuration Guide and Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#ntp { server | peer } {ntp_server_2} [key <key id>} [prefer]</cmd></code>
1.2.4.2.1 - Enable NTP Authentication,Enable NTP authentication.,1.2.4 - NTP Rules,,Configure NTP authentication,no,yes,100,version 1[125]\.*,IOSGlobal,,Required,ntp authenticate,5,Medium,Enable NTP authentication.,"NSA Router Security Configuration Guide and Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#ntp authenticate</cmd></code>
1.2.4.2.2 - Define NTP Key Ring and Encryption Key,Keys are configured on a key ring and identified by an ID number. To add a key enter the following command,1.2.4 - NTP Rules,,Configure at the NTP key ring and encryption key using the following command,no,yes,101,version 1[125]\.*,IOSGlobal,,Required,ntp authentication-key \S+ md5 \S+,5,Medium,Keys are configured on a key ring and identified by an ID number. To add a key enter the following command,"NSA Router Security Configuration Guide and Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#ntp authentication-key {ntp_key_id} md5 {ntp_key}</cmd></code>
1.2.4.2.3 - Define the NTP Trusted Key,Configure the key as trusted so that the router will accept NTP traffic encryp ted using it. This mechanism provides an easy method to retire keys in the event of compromise,1.2.4 - NTP Rules,,Configure the NTP trusted key using the following command,no,yes,102,version 1[125]\.*,IOSGlobal,,Required,ntp trusted-key \d,5,Medium,Configure the key as trusted so that the router will accept NTP traffic encryp ted using it. This mechanism provides an easy method to retire keys in the event of compromise,"NSA Router Security Configuration Guide and Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>ntp trusted-key {ntp_key_id}</cmd></code>
1.2.4.2.4 - Bind the NTP Key Ring to each NTP server,"Set the keys for all configured NTP servers using the following commands under the [edit system] hierarchy, this sets the key that the router will use to encrypt and decrypt traffic for this server.",1.2.4 - NTP Rules,,Configure each NTP Server to use a key ring using the following command.,no,yes,103,version 1[125]\.*,IOSGlobal,,Required,ntp server \S+ key \S+( \S+)? prefer,5,Medium,"Set the keys for all configured NTP servers using the following commands under the [edit system] hierarchy, this sets the key that the router will use to encrypt and decrypt traffic for this server.","NSA Router Security Configuration Guide and Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>ntp server {ntp-server_ip_address}{key ntp_key_id} [source interface_name] [prefer]</cmd></code>
2.1.1.1 - Require AAA Authentication Enable,"Verify authentication, authorization and accounting (AAA) methods for enable mode authentication (with fall-back) is configured.",2.1.1 - Centralized AAA Rules,AAA_LIST_NAME,Configure AAA authentication method(s) for enable authentication (with fall-back),yes,yes,125,version 1[125]\.*,IOSGlobal,,Required,aaa authentication enable (default |)(group |)tacacs\+ enable,5,Medium,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.","Cisco IOS Security Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#aaa authentication enable { default } group tacacs+ [ enable ...]</cmd></code>
2.1.1.2 - Require AAA Authentication Login,"Verify authentication, authorization and accounting (AAA) methods for user login authentication (with fall-back) is configured.",2.1.1 - Centralized AAA Rules,AAA_LIST_NAME,Configure AAA authentication method(s) for login authentication (with fall-back),yes,yes,126,version 1[125]\.*,IOSGlobal,,Required,aaa authentication login (default |)(group |)tacacs\+ local,5,Medium,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring access for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.","Cisco IOS Security Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#aaa authentication login { default | aaa_list_name } group tacacs+ [ local-case ...]</cmd></code>
2.1.1.3 - Require AAA Accounting Commands,"Verify authentication, authorization and accounting (AAA) for commands is configured.",2.1.1 - Centralized AAA Rules,,Configure AAA accounting for commands,yes,yes,127,version 1[125]\.*,IOSGlobal,,Required,aaa accounting commands 15 (default |)start-stop (group |)tacacs\+,5,Medium,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring accounting for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.","Cisco IOS Security Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#aaa accounting {commands 15} {default} {start-stop} {group-tacacs+} [local-case ‚Ä¶]</cmd></code>
2.1.1.4 - Require AAA Accounting Connection,"Verify authentication, authorization and accounting (AAA) accounting for connections is configured.",2.1.1 - Centralized AAA Rules,,Configured AAA accounting for connections,yes,yes,128,version 1[125]\.*,IOSGlobal,,Required,aaa accounting connection (default |)start-stop (group |)tacacs\+,5,Medium,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring accounting for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.","Cisco IOS Security Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#aaa accounting {connection} {default} {start-stop} {group-tacacs+} [local-case ‚Ä¶]</cmd></code>
2.1.1.5 - Require AAA Accounting Exec,"Verify authentication, authorization and accounting (AAA) accounting for exec is configured.",2.1.1 - Centralized AAA Rules,,Configure AAA accounting for exec,yes,yes,129,version 1[125]\.*,IOSGlobal,,Required,aaa accounting exec ((default |)start-stop (group |)tacacs\+ |default action-type start-stop group tacacs\+),5,Medium,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring accounting for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.","Cisco IOS Security Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#aaa accounting {exec} {default} {start-stop} {group-tacacs+} [local-case ‚Ä¶]</cmd></code>
2.1.1.6 - Require AAA Accounting Network,"Verify authentication, authorization and accounting (AAA) accounting for network events is configured.",2.1.1 - Centralized AAA Rules,,Configure AAA accounting for network events,yes,no,130,version 1[125]\.*,IOSGlobal,,Required,aaa accounting network (default |)start-stop (group |)tacacs\+,5,Medium,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring accounting for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.","Cisco IOS Security Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#aaa accounting {network} {default} {start-stop} {group-tacacs+} [local-case ‚Ä¶]</cmd></code>
2.1.1.7 - Require AAA Accounting System,"Verify authentication, authorization and accounting (AAA) accounting for system events is configured.",2.1.1 - Centralized AAA Rules,,Configure AAA accounting for system events,yes,yes,131,version 1[125]\.*,IOSGlobal,,Required,aaa accounting system (default |)start-stop (group |)tacacs\+,5,Medium,"Authentication, authorization and accounting (AAA) systems provide an authoritative source for managing and monitoring accounting for devices. Centralizing control improves consistency of access control, the services that may be accessed once authenticated and accountability by tracking services accessed. Additionally, centralizing access control simplifies and reduces administrative costs of account provisioning and de-provisioning, especially when managing a large number of devices.","Cisco IOS Security Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#aaa accounting {system} {default} {start-stop} {group-tacacs+} [local-case ‚Ä¶]</cmd></code>
2.2.1.1 - Require Loopback Interface,Define and configure one loopback interface.,"2.2.1 - Loopback Rules,2.2.1.5 - Require Binding TFTP Service to Loopback Interface,2.2.1.4 - Require Binding NTP Service to Loopback Interface,2.2.1.3 - Require Binding AAA Service to Loopback Interface","LOOPBACK_NUMBER,LOOPBACK_ADDRESS",Define and configure one loopback interface.,yes,yes,132,version 1[125]\.*,IOSGlobal,,Required,interface Loopback[0-9]+,5,Medium,"The loopback interface provides a standard interface to be used in logging, time, routing protocols, and for ACLs limiting administrative access.","Cisco IOS Interface and Hardware Component Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#interface loopback {0} hostname(config-if)#ip address {loopback_ip_address}</cmd></code>
2.2.1.2 - Forbid Multiple Loopback Interfaces,Define no more than one loopback interface.,2.2.1 - Loopback Rules,LOOPBACK_NUMBER,Define no more than one loopback interface,yes,yes,133,version 1[125]\.*,IOSGlobal,,Forbidden,interface Loopback(?![0-9]+),5,Medium,"Alternate loopback addresses create a potential for abuse, mis-configuration, and inconsistency- cies. Additional loopback interfaces must be documented and approved prior to use by local security personnel.","Cisco IOS Interface and Hardware Component Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#no loopback {instance}</cmd></code>
2.2.1.3 - Require Binding AAA Service to Loopback Interface,"Verify authentication, authorization and accounting (AAA) services are bound to the loopback interface.",2.2.1 - Loopback Rules,"LOOPBACK_NUMBER,2.2.1.1 - Require Loopback Interface",Bind AAA services to the loopback interface,yes,no,134,version 1[125]\.*,IOSGlobal,,Required,ip tacacs.? source-interface Loopback[0-9]+,5,Medium,This is required so that the AAA server (radius or TACACS+) can easily identify routers and authenticate requests by their IP address.,"Cisco IOS Security Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code>router(config)# <cmd>ip tacacs source-interface Loopback<param>$(LOOPBACK_NUMBER)</param></cmd></code>
2.2.1.4 - Require Binding NTP Service to Loopback Interface,Verify the network time protocol (NTP) service is bound to the loopback interface.,2.2.1 - Loopback Rules,"LOOPBACK_NUMBER,2.2.1.1 - Require Loopback Interface",Bind the NTP service to the loopback interface,yes,no,135,version 1[125]\.*,IOSGlobal,,Required,ntp source Loopback[0-9]+,5,Medium,Set the source address to be used when sending NTP traffic. This may be required if the NTP servers you peer with filter based on IP address.,"Cisco IOS Network Management Command Reference, Release 12.4 and NSA Router Security Configuration Guide",,<code><cmd>hostname(config)#ntp source loopback {0}</cmd></code>
2.3.3.1.1 - Enable Cisco Express Forwarding CEF,Enable Cisco Express Forwarding (CEF),2.3.3 - Routing Rules,,Enable Cisco Express Forwarding (CEF),yes,No,152,version 1[125]\.*,IOSInterface,,Required,ip cef,5,Medium,Enable Cisco Express Forwarding (CEF),"Cisco IOS IP Switching Configuration Guide, Release 15.0",,<code><cmd>hostname(config)#ip cef</cmd></code>
2.3.3.1.2 - Enable Unicast Reverse-Path Forwarding uRPF,Configure unicast reverse-path forwarding (uRPF) on all external or high risk interfaces.,2.3.3 - Routing Rules,,Configure unicast reverse-path forwarding (uRPF) on all external or high risk interfaces.,yes,No,153,version 1[125]\.*,IOSInterface,,Required,ip verify unicast source \S+,5,Medium,Configure unicast reverse-path forwarding (uRPF) on all external or high risk interfaces.,"NSA Router Security Configuration Guide, RFC 2267 - Network Ingress Filtering, Cisco IOS Security Configuration Guide:Securing the Control Plane, Release 15.0, Cisco IOS Security Command Reference, Release 15.0, Cisco IOS IP Switching Configuration Guide, Release 15.0, and Cisco AutoSecure",,<code><cmd>hostname(config)#interface {interface_name} hostname(config-if)#ip verify unicast source reachable-via rx</cmd></code>
2.3.3.2 - Forbid IP Proxy ARP,Verify proxy ARP is disabled on all interfaces.,2.3.3 - Routing Rules,,Disable proxy ARP on all interfaces,yes,No,154,version 1[125]\.*,IOSInterface,,Required,no ip proxy-arp,5,Medium,"Proxy ARP breaks the LAN security perimeter, effectively extending a LAN at layer 2 across multiple segments.","NSA Router Security Configuration Guide, Cisco IOS IP Addressing Services Command Reference, and Cisco AutoSecure",,<code><cmd>hostname(config)#interface {interface_name} hostname(config-if)#no ip proxy-arp</cmd></code>
2.3.3.3 - Forbid Tunnel Interfaces,Verify no tunnel interfaces are defined.,2.3.3 - Routing Rules,,Forbid tunnel interfaces,yes,No,155,version 1[125]\.*,IOSGlobal,,Forbidden,interface Tunnel\d+,6,Medium,"Tunnel interfaces should not exist in general. They can be used for malicious purposes. If they do exist, the network admins should be well aware of them and what their purpose is.","Cisco IOS Interface and Hardware Component Command Reference, Release 15.0 and NSA Router Security Configuration Guide",,<code><cmd>Hostname(config)#no interface tunnel {instance}
1.1.2.3 - Require Timeout for Login Sessions,Verify device is configured to automatically disconnect sessions after a fixed idle time.,1.1.2 - Access Rules,EXEC_TIMEOUT,Configure device timeout (10 minutes) to disconnect sessions after a fixed idle time,no,yes,44,version 1[0125]\.*,IOSLine,vty,Required,exec-timeout 5,7,High,"This prevents unauthorized users from misusing abandoned sessions. Example, if the administrator goes on vacation and leaves an enabled login session active on his desktop system. There is a trade-off here between security (shorter timeouts) and usability (longer timeouts). Check your local policies and operational needs to determine the best value. In most cases, this should be no more than 10 minutes.","Cisco IOS Security Command Reference, Release 15.0M, NSA Router Security Configuration Guide, and Cisco AutoSecure","IOSCallouts::CheckExecTimeout,$(EXEC_TIMEOUT),10 0,exec-timeout",<code><cmd>router(config)# line {aux | console | tty | vty} {line-number} [ending-line-number]</cmd> <cmd>exec-timeout {timeout_in_minutes} [ timeout_in_seconds ]</cmd></code>
1.1.4.2 - Require Password Encryption Service,Verify encryption of passwords in device configuration is enabled.,1.1.4 - Password Rules,,Enable password encryption service to protect sensitive access passwords in the device configuration,no,yes,52,version 1[0125]\.*,IOSGlobal,,Required,service password-encryption,7,High,This requires passwords to be encrypted in the configuration file to prevent unauthorized users from learning the passwords by reading the configuration. If this service is not enabled then many of the devices passwords will be rendered in plain text in its configuration file. This service ensures passwords are rendered as encrypted strings preventing an attacker from easily determining the configured value.,"Cisco IOS Security Command Reference, Release 15.0M, NSA Router Security Configuration Guide, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#service password-encryption</cmd></code>
1.2.2.1.1.1 - Configure the Host Name,Configure the router’s host name,1.2.2 - Global Service Rules,,The host name is prerequisite for setting up SSH.,no,yes,71,version 1[0125]\.*,IOSGlobal,,Required,hostname \S+,7,High,"SSH provides administrators with a remote console session on the router in a similar fashion to Telnet. Unlike Telnet, SSH encrypts all data as it transits the network and ensures the identity of the remote host.Due to this extra protection, all remote console sessions should use SSH.","Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#hostname [router_name] </cmd></code>
1.2.2.1.1.2 - Configure the Domain Name,Configure the router’s domain name,1.2.2 - Global Service Rules,,Configure an appropriate domain name for the router.,no,yes,72,version 1[0125]\.*,IOSGlobal,,Required,ip (domain name|domain-name) \S+,7,High,"SSH provides administrators with a remote console session on the router in a similar fashion to Telnet. Unlike Telnet, SSH encrypts all data as it transits the network and ensures the identity of the remote host.Due to this extra protection, all remote console sessions should use SSH.","Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#ip domain name [domain_name] </cmd></code>
1.2.2.1.1.3 - Generate the RSA Key Pair,Generate an RSA ket pair.,1.2.2 - Global Service Rules,,Generate an RSA key pair for the router.,no,no,73,version 1[0125]\.*,IOSGlobal,,Required,crypto key \S+,7,High,"SSH provides administrators with a remote console session on the router in a similar fashion to Telnet. Unlike Telnet, SSH encrypts all data as it transits the network and ensures the identity of the remote host.Due to this extra protection, all remote console sessions should use SSH.","Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>crypto key generate rsa general-keys modulus {2048}</cmd></code>
1.2.2.1.1.4 - Generate the SSH Timeout,Verify that an idle timeout has been configured for SSH sessions.,1.2.2 - Global Service Rules,,Configure the SSH timeout,no,yes,74,version 1[0125]\.*,IOSGlobal,,Required,ip ssh (timeout|time-out) \d+,7,High,This reduces the risk of an administrator leaving an authenticated session logged in for an extended period of time.,"Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#ip ssh timeout {timeout/time-out}[60]</cmd></code>
1.2.2.1.1.5 - Limit the Number of SSH Authentication Tries,Verify the device is configured to limit the number of SSH authentication attempts.,1.2.2 - Global Service Rules,,Configure SSH authentication retries,no,yes,75,version 1[0125]\.*,IOSGlobal,,Required,ip ssh authentication-retries \S+,7,High,This limits the number of times an unauthorized user can attempt a password without having to establish a new SSH login attempt.,"Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#ip ssh authentication-retries [3]</cmd></code>
1.2.2.1.2 - Require SSH version 2,Verify the device is configured to limit the number of SSH authentication attempts.,1.2.2 - Global Service Rules,,Configure the router to use SSH version 2,no,yes,76,version 1[0125]\.*,IOSGlobal,,Required,ip ssh version 2,7,High,"SSH Version 1 has been subject to a number of serious vulnerabilities and is no longer considered to be a secure protocol, resulting in the adoption of SSH Version 2 as an Internet Standard in 2006. Cisco routers support both versions, but due to the weakness of SSH Version 1 only the later standard should be used.","Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#ip ssh version 2</cmd></code>
1.2.2.1.3 - Configure VTP domain,Configure the VTP domain Name,1.2.2 - Global Service Rules,,Configure VTP domain.,no,yes,71,version 1[0125]\.*,IOSGlobal,,Required,vtp domain \S+ vtp mode transparent,7,High,The switches in a common management domain must have the same VTP domain name configured. Enabling VTP allows for centralised management of Vlans in the campus . All switches across network should be made VTP transparent.,"Cisco IOS Network Management Command Reference, Release 15.0M",,<code><cmd>hostname(config)#vtp domain <domain-name> </cmd> <cmd>hostname(config)#vtp mode transparent</cmd></code>
1.2.2.2 - Forbid CDP Run Globally,Disable Cisco Discovery Protocol (CDP) service at device level.,1.2.2 - Global Service Rules,,Disable Cisco Discovery Protocol (CDP) service globally,no,yes,77,version 1[0125]\.*,IOSGlobal,,Required,no cdp run,7,High,"The Cisco Discovery Protocol is a proprietary protocol that Cisco devices use to identify each other on a LAN segment. It is useful only in specialized situations, and is considered a security risk. There have been published denial-of-service (DoS) attacks that use CDP. CDP should be completely disabled unless there is a need for it.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#no cdp run</cmd></code>
1.2.2.6 - Forbid Identification Service,Disable identification (identd) server.,1.2.2 - Global Service Rules,,Disable ident server,no,yes,82,version 11\.*,IOSGlobal,,Forbidden,^ip identd,7,High,Identification protocol enables identifying a users transmission control protocol (TCP) session. This information disclosure could potentially provide an attacker with information about users. Services that are not needed should be turned off because they present potential avenues of attack and may provide information that could be useful for gaining unauthorized access.,"NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#no identd</cmd></code>
1.2.2.7 - Forbid HTTP Services,Disable the native HTTP services.,1.2.2 - Global Service Rules,,Disable the HTTP services.,no,yes,83,version 11\.*,IOSGlobal,,Required,no ip http (server|secure-server),7,High,"HTTP services allow remote management of routers. However,when using simpleHTTP, authentication sends passwords in the clear. This could allow unauthorized access to and mis-management of the router. HTTP services should be disabled. If you require a web management interface, ensure use of the HTTPS server functionality.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#no ip http { server | secure-server }</cmd></code>
1.2.2.8 - Forbid Remote Startup Configuration,Disable autoloading of remote configuration files from a network server.,1.2.2 - Global Service Rules,,Disable auto loading of remote configurations files from a network server,no,yes,84,version 1[0125]\.*,IOSGlobal,,Forbidden,^(boot network|service config),7,High,"Service config allows the device to autoload its startup configuration from a remote device (e.g. a tftp server). The protocols used to transfer configurations files, such as trivial file transfer protocol (TFTP) and file transfer protocol (FTP), are not secure. Since these methods are insecure, an attacker could potentially compromise or spoof the remote configuration service enabling malicious reconfiguration of the device.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#no boot network hostname(config)#no service config</cmd></code>
1.2.2.11 - Forbid tcp-small-servers,"Disable unnecessary services such as echo, discard, chargen, etc.",1.2.2 - Global Service Rules,,"Disable unnecessary services such as echo, discard, chargen, etc.",no,yes,87,version (12\.*|11.3),IOSGlobal,,Forbidden,^service tcp-small-servers,7,High,"TCP small services: echo, chargen and daytime (including UDP versions) are rarely used. These services can be leveraged by attackers to launch denial-of-service (DoS) and other attacks that would be prevented by packet inspection filters provided these services are disabled. Services that are not needed should be turned off because they present potential avenues of attack and may provide information that could be useful for gaining unauthorized access.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#no service tcp-small-servers</cmd></code>
1.2.2.12 - Forbid udp-small-servers,"Disable unnecessary TCP services such as echo, discard, chargen, etc.",1.2.2 - Global Service Rules,,"Disable unnecessary UDP services such as echo, discard, chargen, etc.",no,yes,88,version (12\.*|11.3),IOSGlobal,,Forbidden,^service udp-small-servers,7,High,"TCP small services: echo, chargen and daytime (including UDP versions) are rarely used. These services can be leveraged by attackers to launch denial-of-service (DoS) and other attacks that would be prevented by packet inspection filters provided these services are disabled. Services that are not needed should be turned off because they present potential avenues of attack and may provide information that could be useful for gaining unauthorized access.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)#no service udp-small-servers</cmd></code>
1.2.2.15 - Syn Wait time should be set to 10 Seconds.,Syn Wait time should be set.,1.2.2 - Global Service Rules,,Syn Wait time should be set to 10 Seconds,no,yes,159,version 1[125]\.*,IOSGlobal,,Required,ip tcp synwait-time 10,7,High,To help prevent the SYN Flood attack the administrator should set the amount of time the Router will wait while attempting to establish a TCP connection..,"NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, Cisco Guide to Harden Cisco IOS Devices, and Cisco AutoSecure",,<code><cmd>hostname(config)# ip tcp synwait-time 10</cmd></code>
1.3.1.1 - Forbid Directed Broadcast,Disallow IP directed broadcast on each interface.,1.3.1 - Routing Rules,,Disable directed broadcast on each interface,no,yes,104,version 12\.*,IOSInterface,.*,Forbidden,^ip directed-broadcast,7,High,"Directed broadcasts permit hosts to send broadcasts across local area network (LAN) segments. Device interfaces that allow directed broadcasts can be used for ""smurf"" denial-of-service (DoS) attacks.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, and Cisco AutoSecure",,<code><cmd>hostname(config)#interface interface-id hostname(config-if)#no ip directed-broadcast</cmd></code>
1.3.1.2 - Forbid IP source-route,Disable source routing.,1.3.1 - Routing Rules,,Disable source routing,no,yes,105,version 1[0125]\.*,IOSGlobal,,Required,no ip source-route,7,High,"Source routing is a feature of IP whereby individual packets can specify routes. This feature is used in several kinds of attacks. Cisco routers normally accept and process source routes. Unless a network depends on source routing, it should be disabled.","NSA Router Security Configuration Guide, Cisco IOS Network Management Command Reference, Release 15.0M, and Cisco AutoSecure",,<code><cmd>hostname(config)#no ip source-route</cmd></code>
2.3.1.1.1 - Apply Inbound Border ACL on External Interface,Verify outbound traffic from your network includes only valid internal source addresses.,2.3.1 - Border Router Filtering,EGRESS_ACL_NUMBER,Configure ACL to only disallow non-routable unnecessary networks to ingress.,yes,No,138,version 1[0125]\.*,IOSInterface,.*,Required,access-group 1[0-9][0-9] in,7,High,Verify outbound traffic from your network includes only valid internal source addresses .,"NSA Router Security Configuration Guide, Cisco IOS Security Command Reference, Release 15.0, RFC 3704 - Ingress Filtering for Multi-homed Networks, RFC 3300 - Special-Use IPv4 Addresses, RFC 3171 - IANA Guidelines for IPv4 Multicast Address Assignments, and RFC 1918 - Address Allocation for Private Internets",,<code><cmd>hostname(config)#access-group {access-list} in</cmd></code>
2.3.1.2 - Forbid External Source Addresses on Outbound Traffic,Verify outbound traffic from your network includes only valid internal source addresses.,2.3.1 - Border Router Filtering,EGRESS_ACL_NUMBER,Configure ACL to only allow internal networks to egress.,yes,No,139,version 1[0125]\.*,IOSInterface,.*,Required,access-group 1[0-9][0-9] out,7,High,Verify outbound traffic from your network includes only valid internal source addresses.,"NSA Router Security Configuration Guide and Cisco IOS Security Command Reference, Release 15.0",,<code><cmd>hostname(config)#access-group {access-list} out</cmd></code>
2.3.1.2.1 - Forbid External Source Addresses on Outbound Traffic,Verify outbound traffic from your network includes only valid internal source addresses.,2.3.1 - Border Router Filtering,EGRESS_ACL_NUMBER,Configure ACL to only allow internal networks to egress.,yes,No,140,version 1[0125]\.*,IOSInterface,.*,Required,access-group 1[0-9][0-9] out,7,High,Verify outbound traffic from your network includes only valid internal source addresses.,"NSA Router Security Configuration Guide and Cisco IOS Security Command Reference, Release 15.0",,<code><cmd>hostname(config)#access-group {access-list} out</cmd></code>
